City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Muros,ES,2022-04-25 21:16:36,42.7762,-9.0603,53.83,80,91,6.8,overcast clouds
60,Victoria,HK,2022-04-25 21:16:36,22.2855,114.1577,81.32,86,10,4.0,clear sky
61,Port Lincoln,AU,2022-04-25 21:13:07,-34.7333,135.8667,64.4,80,100,9.89,overcast clouds
62,Chokurdakh,RU,2022-04-25 21:16:37,70.6333,147.9167,6.04,94,93,4.72,overcast clouds
63,Busselton,AU,2022-04-25 21:16:37,-33.65,115.3333,61.81,66,97,17.09,overcast clouds
64,Panguna,PG,2022-04-25 21:16:38,-6.3164,155.4848,71.83,90,63,1.68,broken clouds
65,Kodiak,US,2022-04-25 21:16:38,57.79,-152.4072,45.91,57,75,6.91,broken clouds
66,Phalaborwa,ZA,2022-04-25 21:16:38,-23.943,31.1411,69.08,77,40,6.89,light rain
67,Zeya,RU,2022-04-25 21:16:39,53.75,127.2667,28.38,65,100,5.55,overcast clouds
68,Castro,BR,2022-04-25 21:14:10,-24.7911,-50.0119,64.54,80,0,2.48,clear sky
69,Lavrentiya,RU,2022-04-25 21:16:39,65.5833,-171.0,24.51,81,98,7.85,overcast clouds
70,Cape Town,ZA,2022-04-25 21:15:12,-33.9258,18.4232,59.92,71,0,10.36,clear sky
71,Barranca,PE,2022-04-25 21:16:40,-10.75,-77.7667,70.05,75,97,8.59,overcast clouds
72,Lisala,CD,2022-04-25 21:16:41,2.15,21.5167,71.19,95,97,0.72,overcast clouds
73,Poum,NC,2022-04-25 21:06:58,-20.2333,164.0167,74.41,66,100,11.92,overcast clouds
74,Pekan,MY,2022-04-25 21:16:41,3.4836,103.3996,77.11,88,95,2.24,overcast clouds
75,Mataura,NZ,2022-04-25 21:16:42,-46.1927,168.8643,51.48,82,70,6.58,broken clouds
76,Jamestown,US,2022-04-25 21:13:34,42.097,-79.2353,80.24,41,20,12.66,few clouds
77,Morropon,PE,2022-04-25 21:16:42,-5.1822,-79.9689,84.61,58,97,6.13,overcast clouds
78,Faya,SA,2022-04-25 21:16:43,18.3851,42.4509,64.51,54,0,5.82,clear sky
79,Tzaneen,ZA,2022-04-25 21:16:43,-23.8332,30.1635,66.29,85,81,3.44,broken clouds
80,Teahupoo,PF,2022-04-25 21:16:43,-17.8333,-149.2667,80.56,74,9,11.16,clear sky
81,New Norfolk,AU,2022-04-25 21:16:44,-42.7826,147.0587,49.87,88,88,2.3,overcast clouds
82,Vila Velha,BR,2022-04-25 21:16:44,-20.3297,-40.2925,80.55,79,75,11.5,broken clouds
83,San Fernando,PH,2022-04-25 21:16:45,15.0286,120.6898,82.13,82,56,5.12,broken clouds
84,San Lorenzo,PY,2022-04-25 21:16:45,-25.3333,-57.5333,88.74,59,0,11.99,clear sky
